date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:08:11	30048/30048	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2015:08:10%20GMT	https://mangopi.org/start?do=index	mangopi.org/startdecf.html	(from https://mangopi.org/)
11:08:30	100747264/100747264	---M--	200	added ('OK')	application/octet-stream	etag:%22bf7f2775ded6c1a2b0740d07ccff8cca%22	https://mangopi.org/_media/h616:mq-quad-rtl8723ds-5135-dns-uart0.img	mangopi.org/_media/mq-quad-rtl8723ds-5135-dns-uart0.img_;	(from https://mangopi.org/mangopi_mqquad)
11:08:30	73022773/73022773	---M--	200	added ('OK')	application/zip	etag:%22e85b511f554ac8760a36d544d4b976ec%22	https://mangopi.org/_media/tina-linux-doc.zip	mangopi.org/_media/tina-linux-doc.zip_;	(from https://mangopi.org/mangopi_mqquad)
11:08:31	1741/1741	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2015:08:31%20GMT	https://mangopi.org/_export/xhtml/start	mangopi.org/_export/xhtml/start.html	(from https://mangopi.org/)
11:08:31	44/44	---M-Z	200	added ('OK')	text/plain	date:Mon,%2001%20Jun%202026%2015:08:31%20GMT	https://mangopi.org/_export/raw/start	mangopi.org/_export/raw/start.txt	(from https://mangopi.org/)
11:08:33	10719/10719	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2015:08:32%20GMT	https://mangopi.org/start?do=login&sectok=	mangopi.org/start51ef.html	(from https://mangopi.org/)
11:08:34	13270/13270	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2015:08:33%20GMT	https://mangopi.org/start?do=recent	mangopi.org/start810b.html	(from https://mangopi.org/)
11:08:35	12297/12297	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2015:08:34%20GMT	https://mangopi.org/start?do=media&ns=0	mangopi.org/start2681.html	(from https://mangopi.org/)
11:08:36	10660/10660	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2015:08:35%20GMT	https://mangopi.org/start?do=edit	mangopi.org/start39b4.html	(from https://mangopi.org/)
11:08:37	21049/21049	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2015:08:36%20GMT	https://mangopi.org/start?do=revisions	mangopi.org/start5f35.html	(from https://mangopi.org/)
11:08:38	9910/9910	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2015:08:37%20GMT	https://mangopi.org/start?do=backlink	mangopi.org/start2271.html	(from https://mangopi.org/)
11:08:38	42/42	---M--	200	added ('OK')	image/gif	date:Mon,%2001%20Jun%202026%2015:08:38%20GMT	https://mangopi.org/lib/exe/taskrunner.php?id=start&1780326438	mangopi.org/lib/exe/taskrunnere28a.gif	(from https://mangopi.org/)
11:08:39	330/330	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Sep%202025%2004:44:18%20GMT	https://mangopi.org/lib/images/interwiki.svg	mangopi.org/lib/images/interwiki.svg	(from https://mangopi.org/lib/exe/css.php?t=dokuwiki&tseed=1f99e54c625b0186066b125883f7cf8c)
